Player,box_prior,FIFA_prior,box_coef,box_rating,FIFA_coef,FIFA_rating
Ederson,0.14172200016723502,0.1541630893513739,-0.039339193183240376,0.10238280698399464,-0.045184422155116845,0.10897866719625707
João Cancelo,0.1452747226377904,0.11033816950134945,-0.03907937156578473,0.10619535107200567,-0.044399403507703376,0.06593876599364606
Rodri,0.13234798774206213,0.11033816950134945,-0.034692486789074654,0.09765550095298747,-0.03875096418338748,0.07158720531796198
Bernardo Silva,0.11914563752733898,0.11033816950134945,-0.03513825189742337,0.08400738562991561,-0.040845849338239336,0.0694923201631101
Aymeric Laporte,0.12410246841782024,0.11033816950134945,-0.03479966634996149,0.08930280206785876,-0.040021216814145215,0.07031695268720423
Rúben Dias,0.12840868700824792,0.12494647611802412,-0.02916435518024054,0.09924433182800738,-0.03385017359165376,0.09109630252637035
Kevin De Bruyne,0.11913611250913592,0.18337970258472347,-0.026656992677154902,0.09247911983198101,-0.03121629552065256,0.15216340706407092
Phil Foden,0.12944459002600772,0.08112155626799966,-0.026541066615520432,0.1029035234104873,-0.03092029020705887,0.05020126606094079
Raheem Sterling,0.11980273426330301,0.139554782734699,-0.025900432837493426,0.09390230142580959,-0.029286059942800712,0.1102687227918983
Jack Grealish,0.11028048388597145,0.08112155626799966,-0.023442654699344527,0.08683782918662691,-0.026673961926368388,0.054447594341631274
Gabriel Jesus,0.11510281042767989,0.06651324965132499,-0.020810222583289042,0.09429258784439085,-0.022487388295048826,0.04402586135627616
İlkay Gündoğan,0.1361339241319941,0.09572986288467455,-0.02190319170505485,0.11423073242693925,-0.023908505299095946,0.07182135758557862
Kyle Walker,0.0649332498554065,0.09572986288467455,-0.019537047634765294,0.045396202220641196,-0.02178688369509486,0.07394297918957969
Riyad Mahrez,0.07477742641411589,0.11033816950134945,-0.016881235021418067,0.05789619139269782,-0.021546974234822196,0.08879119526652725
John Stones,0.0298124687058825,0.06651324965132499,-0.014813857504498313,0.014998611201384187,-0.01708863162220251,0.04942461802912248
Oleksandr Zinchenko,0.08637551944353561,0.022688329801300533,-0.009466595776905045,0.07690892366663056,-0.010462130632312557,0.012226199168987976
Fernandinho,0.0490068648977926,0.06651324965132499,-0.009847282504418766,0.03915958239337383,-0.011952244135323208,0.05456100551600178
Nathan Aké,0.03807415946057002,-0.006528283432049031,-0.011991914637718322,0.0260822448228517,-0.014210632700437195,-0.020738916132486226
Ferrán Torres,-0.0011652284890995013,-0.005407882334605096,-0.003087376552061198,-0.004252605041160699,-0.002804957656078943,-0.00821283999068404
Cole Palmer,-0.0011652284890995013,-0.005407882334605096,-0.0010512981416154568,-0.002216526630714958,-9.2451763925242e-4,-0.006332399973857516
Zack Steffen,-0.0011652284890995013,-0.005407882334605096,-0.0012163177145390548,-0.002381546203638556,-0.0012165048439844268,-0.006624387178589523
Benjamin Mendy,-0.0011652284890995013,-0.005407882334605096,-6.738366505943374e-4,-0.0018390651396938387,-6.797949159262119e-4,-0.006087677250531308
James Mcatee,-0.0011652284890995013,-0.005407882334605096,9.315994761349738e-6,-0.0011559124943381516,9.157089537007175e-6,-0.005398725245068089
Liam Delap,-0.0011652284890995013,-0.005407882334605096,5.461880183246494e-5,-0.0011106096872670363,6.067404832381e-5,-0.005347208286281286
Kayky Chagas,-0.0011652284890995013,-0.005407882334605096,6.0076737390827576e-5,-0.0011051517517086738,6.822670152661107e-5,-0.005339655633078485
CJ Egan-Riley,-0.0011652284890995013,-0.005407882334605096,4.568538213115194e-5,-0.0011195431069683493,5.6564324197597535e-5,-0.0053513180104074985
Scott Carson,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Thomas Doyle,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Samuel Edozie,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Roméo Lavia,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Luke Mbete-Tatu,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Cieran Slicker,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Josh Wilson-Esbrand,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Alisson,0.12893078888077047,0.1541630893513739,-0.025960351411870024,0.10297043746890044,-0.040763611499710584,0.11339947785166332
Virgil van Dijk,0.06423772852328691,0.1541630893513739,-0.02447278088889784,0.039764947634389064,-0.039001019713435434,0.11516206963793847
Trent Alexander-Arnold,0.10202102711771444,0.12494647611802412,-0.022892495439482137,0.0791285316782323,-0.03525916602036234,0.08968731009766179
Sadio Mané,0.134538853640084,0.1541630893513739,-0.022352604909917265,0.11218624873016673,-0.03462841332413568,0.11953467602723822
Joël Matip,0.06701999497094091,0.06651324965132499,-0.023359225345703543,0.043660769625237364,-0.035354167620567825,0.031159082030757165
Mohamed Salah,0.17072736521000387,0.1541630893513739,-0.020983220541841784,0.14974414466816208,-0.032413974493571,0.1217491148578029
Jordan Henderson,0.05648509335883034,0.08112155626799966,-0.02016268407967953,0.036322409279150814,-0.03250998605151338,0.04861157021648628
Andrew Robertson,0.0868678259051805,0.12494647611802412,-0.019698579832988103,0.06716924607219239,-0.03146198170234859,0.09348449441567552
Diogo Jota,0.09853966869632114,0.0519049430346501,-0.018602427943576947,0.079937240752744193,-0.02891961886418451,0.022985324170465588
Fabinho,0.038967022615920666,0.11033816950134945,-0.018002643686500452,0.020964378929420213,-0.030379224778957336,0.07995894472239211
Thiago Alcántara,0.09405220727675823,0.11033816950134945,-0.013865905794663253,0.08018630148209498,-0.02119262392348016,0.08914554557786929
Naby Keïta,0.025777658843072704,0.022688329801300533,-0.010292398120279092,0.015485260722793612,-0.013642222017055386,0.009046107784245147
Ibrahima Konaté,-0.016319308543843336,-0.006528283432049031,-0.00538097945522436,-0.021700287999067695,-0.00922505370752386,-0.01575333713957289
Luis Díaz,0.10048490965632184,0.022688329801300533,-0.007711580301313097,0.09277332935500875,-0.011842846700341284,0.01084548310095925
Roberto Firmino,0.1022985467465165,0.09572986288467455,-0.0070848584980632914,0.09521368824845322,-0.01127226369656125,0.0844575991881133
Curtis Jones,-0.0011652284890995013,-0.005407882334605096,-0.005299674555022057,-0.006464903044121558,-0.00992245338845555,-0.015330335723060647
Kostas Tsimikas,-0.0011652284890995013,-0.005407882334605096,-0.006878654427489823,-0.008043882916589324,-0.010291845894445891,-0.01569972822905099
James Milner,-0.0011652284890995013,-0.005407882334605096,-0.0037388483678404472,-0.004904076856939948,-0.006747547274035821,-0.012155429608640918
Alex Oxlade-Chamberlain,-0.0011652284890995013,-0.005407882334605096,-0.00839359832739545,-0.009558826816494951,-0.013924293953709893,-0.01933217628831499
Harvey Elliott,-0.0011652284890995013,-0.005407882334605096,-0.0022765607658025533,-0.0034417892549020545,-0.0028707680816599467,-0.008278650416265044
Joe Gomez,-0.0011652284890995013,-0.005407882334605096,-0.003236562971800975,-0.004401791460900476,-0.004592737619961223,-0.01000061995456632
Caoimhín Kelleher,-0.0011652284890995013,-0.005407882334605096,-6.461447477966176e-4,-0.0018113732368961188,-0.001026517796421445,-0.006434400131026542
Takumi Minamino,-0.0011652284890995013,-0.005407882334605096,-7.11339540547862e-4,-0.0018765680296473632,-0.0013197345135915529,-0.006727616848196649
Tyler Morton,-0.0011652284890995013,-0.005407882334605096,-3.2131983494088995e-4,-0.0014865483240403912,-4.995923799809779e-4,-0.005907474714586075
Divock Origi,-0.0011652284890995013,-0.005407882334605096,-2.5241333823187556e-4,-0.0014176418273313769,-4.305743741464327e-4,-0.005838456708751529
Kaide Gordon,-0.0011652284890995013,-0.005407882334605096,-5.278491064923354e-5,-0.0012180133997487348,-1.4146775269066535e-4,-0.0055493500872957615
Neco Williams,-0.0011652284890995013,-0.005407882334605096,-2.6151176427866797e-5,-0.001191379665527368,-3.7610367715610755e-5,-0.005445492702320707
Adrián,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Owen Beck,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Conor Bradley,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Nathaniel Phillips,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Marcelo Pitaluga,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Jarrell Quansah,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Rhys Williams,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Ben Woodburn,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Edouard Mendy,0.07637921536076275,0.06651324965132499,-0.02040340025811041,0.05597581510265234,-0.028095163748252158,0.03841808590307283
Antonio Rüdiger,0.07332902129550356,0.06651324965132499,-0.017123485078359767,0.05620553621714379,-0.024749302084303794,0.0417639475670212
Thiago Silva,0.046678822763258854,0.09572986288467455,-0.015571175801984596,0.031107646961274257,-0.02240468779485895,0.0733251750898156
Mason Mount,0.08762041322593928,0.06651324965132499,-0.015139071788296918,0.07248134143764236,-0.021068847613266887,0.04544440203805811
Jorginho,0.06280287351829439,0.09572986288467455,-0.014484569139850694,0.04831830437844369,-0.01871078915321804,0.07701907373145651
Marcos Alonso,0.037129403136801464,0.00808002318462564,-0.009697388203620191,0.027432014933181273,-0.014333607482419235,-0.006253584297793595
César Azpilicueta,0.045555157102855626,0.06651324965132499,-0.009762863540342791,0.03579229356251283,-0.01770273969713476,0.04881050995419023
Reece James,0.13007227050278525,0.037296636417975426,-0.013206031994125329,0.11686623850865992,-0.014675155791613426,0.022621480626362
Kai Havertz,0.075615345225573,0.08112155626799966,-0.014440954251694546,0.06117439097387846,-0.019606521758918014,0.06151503450908165
N'Golo Kanté,0.06892357931260551,0.16877139596804858,-0.01006892966424016,0.05885464964836535,-0.016829795486144435,0.15194160048190414
Andreas Christensen,0.0149315697633845,0.022688329801300533,-0.00778848015051734,0.00714308961286716,-0.012940949429666048,0.009747380371634485
Trevoh Chalobah,0.06616489634490685,-0.07956981651542328,-0.010134320987133263,0.05603057535777359,-0.012511002766233154,-0.09208081928165643
Romelu Lukaku,-0.0016896238545187625,0.139554782734699,-0.003502901945231494,-0.005192525799750256,-0.010550485668176804,0.12900429706652222
Mateo Kovačić,0.0623785229072531,0.06651324965132499,-0.003945190153375866,0.05843333275387723,-0.009250477313495313,0.05726277233782968
Timo Werner,0.009819260468868052,0.08112155626799966,-0.00900397377668715,8.152866921809013e-4,-0.013006927937417527,0.06811462833058213
Hakim Ziyech,0.04121712766742891,0.08112155626799966,-0.009013672622730827,0.032203455044698084,-0.014458971905173017,0.06666258436282664
Ruben Loftus-Cheek,0.03904269485281553,-0.05035320328207349,-0.009992705593752767,0.029049989259062763,-0.013531326709124781,-0.06388452999119827
Christian Pulisic,-0.011347132679213168,0.0519049430346501,-0.006564030066767367,-0.017911162745980536,-0.010563809300647212,0.04134113373400289
Callum Hudson-Odoi,0.002483244842199861,-0.021136590048723924,-0.005855644967737147,-0.0033724001255372857,-0.007404776069092528,-0.028541366117816453
Malang Sarr,-0.0011652284890995013,-0.005407882334605096,-0.002026854474576592,-0.003192082963676093,-0.006105132354306979,-0.011513014688912075
Ben Chilwell,-0.0011652284890995013,-0.005407882334605096,-0.004129493883914484,-0.005294722373013985,-0.0055323270226128405,-0.010940209357217937
Saúl Ñíguez,-0.0011652284890995013,-0.005407882334605096,-0.003967283255900424,-0.005132511744999926,-0.00517412293103652,-0.010582005265641617
Kepa Arrizabalaga,-0.0011652284890995013,-0.005407882334605096,7.273995127636063e-4,-4.3782897633589497e-4,-0.0011727085277458995,-0.006580590862350996
Ross Barkley,-0.0011652284890995013,-0.005407882334605096,-7.806644909013002e-4,-0.0019458929800008015,-6.362153625922545e-4,-0.006044097697197351
Kenedy,-0.0011652284890995013,-0.005407882334605096,-6.988164873243779e-4,-0.0018640449764238793,-0.0011143203089267809,-0.0065222026435318775
Emerson Palmieri,-0.0011652284890995013,-0.005407882334605096,-3.095177976086859e-5,-0.0011961802688603698,-4.426739316119495e-5,-0.0054521497277662916
Tammy Abraham,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Marcus Bettinelli,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Lewis Hall,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Harvey Vale,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Kurt Zouma,-0.014227727750041108,0.037296636417975426,2.0353218273847057e-4,-0.014024195567302637,0.0010857638662699698,0.038382400284245395
Hugo Lloris,0.0839782168030192,0.12494647611802412,-0.017530789379041723,0.06644742742397748,-0.021130533642067868,0.10381594247595625
Harry Kane,0.12175045465147827,0.16877139596804858,-0.017735881865582354,0.10401457278589592,-0.021140863645536582,0.147630532322512
Pierre Højbjerg,0.06988372582211255,0.06651324965132499,-0.017286938368067706,0.05259678745404485,-0.020879149085358095,0.045634100565966895
Eric Dier,0.05057170345461248,0.00808002318462564,-0.01621006806288155,0.034361635391730934,-0.018802122774488124,-0.010722099589862484
Son Heung-min,0.12046826052993787,0.1541630893513739,-0.016670781605791888,0.10379747892414598,-0.020227202645481484,0.13393588670589243
Ben Davies,0.004596668435526974,-0.07956981651542328,-0.013992030736461651,-0.009395362300934677,-0.015110276482391626,-0.09468009299781491
Emerson,0.0047675566534226554,0.00808002318462564,-0.013112510580044666,-0.00834495392662201,-0.016300405071246454,-0.008220381886620814
Sergio Reguilón,0.0194779051340781,0.037296636417975426,-0.010519250256596885,0.008958654877481214,-0.01526238201210438,0.022034254405871048
Cristian Romero,0.020820796510977013,0.0519049430346501,-0.010236234195758264,0.01058456231521875,-0.010628977326402004,0.0412759657082481
Lucas Moura,5.002684431527626e-4,0.037296636417975426,-0.00975156877833867,-0.009251300335185907,-0.01377980909995489,0.023516827318020538
Davinson Sánchez,0.02529774431038123,0.00808002318462564,-0.0070349142573760725,0.01826283005300516,-0.009742575127269164,-0.001662551942643524
Rodrigo Bentancur,0.07996059083064488,-0.006528283432049031,-0.008227192945443912,0.07173339788520097,-0.008363405297360797,-0.014891688729409828
Oliver Skipp,-0.006323545573201139,-0.05035320328207349,-0.0065728890878741,-0.012896434661075238,-0.00991468762036696,-0.060267890902440446
Dejan Kulusevski,0.07520581097784063,0.037296636417975426,-0.007068334841083905,0.06813747613675672,-0.007053861294996231,0.030242775122979196
Ryan Sessegnon,-0.0024379908417020424,-0.05035320328207349,-0.005189141676896996,-0.007627132518599039,-0.004600540819388061,-0.054953744101461546
Japhet Tanganga,-0.0011652284890995013,-0.005407882334605096,-0.0027240693665115737,-0.003889297855611075,-0.004554038829096752,-0.00996192116370185
Harry Winks,0.004343441608348542,-0.021136590048723924,-0.003450586760556542,8.928548477919996e-4,-0.004293782395541086,-0.02543037244426501
Matt Doherty,-0.0011652284890995013,-0.005407882334605096,-0.003826215718090735,-0.004991444207190237,-0.003097887077177073,-0.008505769411782169
Dele Alli,-0.0011652284890995013,-0.005407882334605096,-9.543705962674914e-4,-0.0021195990853669928,-0.002783280377387581,-0.008191162711992678
Tanguy Ndombele,-0.0011652284890995013,-0.005407882334605096,-0.001779535861207758,-0.0029447643503072592,-0.0025134695802823577,-0.007921351914887454
Steven Bergwijn,-0.0011652284890995013,-0.005407882334605096,-0.0014628979692116212,-0.0026281264583111223,-0.0014687010911957885,-0.0068765834258008845
Giovani Lo Celso,-0.0011652284890995013,-0.005407882334605096,-1.6618385689399449e-4,-0.0013314123459934957,4.3989900308939094e-4,-0.004967983331515705
Bryan,-0.0011652284890995013,-0.005407882334605096,-1.501095508349913e-4,-0.0013153380399344927,-1.6204710947025246e-4,-0.005569929444075349
Joe Rodon,-0.0011652284890995013,-0.005407882334605096,-4.350450512229164e-4,-0.0016002735403224176,-9.916450960066043e-4,-0.006399527430611701
Dane Scarlett,-0.0011652284890995013,-0.005407882334605096,-3.4072393777352565e-5,-0.0011993008828768538,-4.311108996696103e-5,-0.0054509934245720575
Brandon Austin,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Jamie Bowden,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Matthew Craig,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Alfie Devine,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Pierluigi Gollini,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Marcel Lavinier,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Dilan Markanday,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Tobi Omole,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Moussa Sissoko,-0.010430916633712428,-0.006528283432049031,0.013753587543623684,0.0033226709099112555,0.021278661652343694,0.014750378220294662
Harvey White,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Bukayo Saka,0.05675618011043859,0.022688329801300533,-0.0014763380335462302,0.05527984207689236,0.002032120179912302,0.024720449981212835
Gabriel Dos Santos,0.039364176995956957,0.00808002318462564,-0.0018825229561856727,0.03748165403977129,0.0023975585768583963,0.010477581761484035
Aaron Ramsdale,0.006872119282788525,-0.06496150989874838,-0.0017141925838129422,0.0051579266989755825,0.002646075012108686,-0.062315434886639695
Ben White,0.0045020282323757765,-0.03574489666539882,-0.0020729592440064475,0.002429068988369329,8.206932175828167e-4,-0.034924203447816
Martin Ødegaard,0.03482435971314457,0.0519049430346501,-0.002448983125004801,0.03237537658813977,6.912365384795881e-4,0.05259617957312968
Granit Xhaka,0.024328693760360842,0.00808002318462564,9.959187434664584e-5,0.02442828563470749,0.0024066099374406903,0.01048663312206633
Thomas Partey,0.029734029968585984,0.06651324965132499,-2.7762589401077414e-4,0.02945640407457521,9.668739201849926e-4,0.06748012357150998
Kieran Tierney,-0.012879466124462002,0.022688329801300533,-7.591232533982022e-4,-0.013638589377860205,-0.001496318408092567,0.021192011393207966
Emile Smith Rowe,-0.004331847366440211,-0.03574489666539882,-6.448310647179814e-4,-0.0049766784311581925,0.001565691606409853,-0.034179205058988964
Martinelli,0.015207860042367738,-0.03574489666539882,-5.525613989910478e-4,0.01465529864337669,0.0028002737177810298,-0.03294462294761779
Alexandre Lacazette,-0.014245255709177673,0.0519049430346501,-2.2971382111183216e-4,-0.014474969530289506,0.001152003472474147,0.053056946507124246
Takehiro Tomiyasu,-0.030845939240284448,-0.05035320328207349,-1.330653810847426e-4,-0.03097900462136919,0.002655716415103513,-0.04769748686696998
Cédric Soares,-0.01970782273388516,-0.03574489666539882,2.472689545563446e-4,-0.019460553779328815,0.0017083448548566463,-0.03403655181054217
Nuno Tavares,-0.02329480233170589,-0.12339473636544773,-4.967592901714999e-4,-0.02379156162187739,0.004209011929927672,-0.11918572443552006
Albert Sambi Lokonga,-0.030449279504761728,-0.07956981651542328,-0.001481402064192051,-0.03193068156895378,-1.2828126256145676e-4,-0.07969809777798473
Pierre-Emerick Aubameyang,-0.019122976630966848,0.09572986288467455,-4.363033318748928e-5,-0.01916660696415434,0.0012419651081700684,0.09697182799284462
Rob Holding,-0.0011652284890995013,-0.005407882334605096,-5.4794499706039084e-5,-0.0012200229888055403,0.0018390835972118447,-0.0035687987373932517
Eddie Nketiah,-0.0011652284890995013,-0.005407882334605096,-5.483930688890452e-4,-0.0017136215579885465,0.0020288650834839285,-0.003379017251121168
Mohamed Elneny,-0.0011652284890995013,-0.005407882334605096,2.918639927619894e-4,-8.733644963375118e-4,0.0034555099301852416,-0.0019523724044198548
Nicolas Pépé,-0.0011652284890995013,-0.005407882334605096,-6.940292801809367e-4,-0.001859257769280438,-0.0014010451253998924,-0.006808927460004988
Bernd Leno,-0.0011652284890995013,-0.005407882334605096,4.640012503428389e-4,-7.012272387566623e-4,2.2859281271271216e-4,-0.0051792895218923845
Ainsley Maitland-Niles,-0.0011652284890995013,-0.005407882334605096,-4.264052759203657e-4,-0.001591633765019867,-4.481692193736431e-4,-0.00585605155397874
Pablo Marí,-0.0011652284890995013,-0.005407882334605096,7.820451175784503e-5,-0.0010870239773416563,-5.607268004256584e-5,-0.005463955014647662
Calum Chambers,-0.0011652284890995013,-0.005407882334605096,-8.419794752737821e-4,-0.0020072079643732835,-0.0023831021634214307,-0.007790984498026527
Sead Kolašinac,-0.0011652284890995013,-0.005407882334605096,4.822595467763495e-4,-6.829689423231517e-4,4.287708768062736e-4,-0.004979111457798823
Folarin Balogun,-0.0011652284890995013,-0.005407882334605096,-9.296794901429233e-5,-0.0012581964381137936,-3.5601497244439973e-4,-0.005763897307049496
Reiss Nelson,-0.0011652284890995013,-0.005407882334605096,-5.932215671453175e-5,-0.001224550645814033,-9.853337080314339e-5,-0.005506415705408239
Ryan Alebiousu,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Zach Awe,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Miguel Azeez,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Héctor Bellerín,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Mika Biereth,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Marcelo Flores,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Omari Hutchinson,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Karl Jakob Hein,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Alex Kirk,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Mazeed Ogungbo,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
