Player,weighted_pred,scaled_pred,adj_overall,total_min,adj_scaled,pred_scaled,pred_scaled_int
Ederson,88.14835514405634,3.693687678128469,89,3330,0.1541630893513739,0.14172200016723502,0.18468438390642344
João Cancelo,88.3915539325114,3.785526867233763,86,3227,0.11033816950134945,0.1452747226377904,0.18927634336168814
Rodri,87.50666458599585,3.4513659918932245,86,2884,0.11033816950134945,0.13234798774206213,0.17256829959466122
Bernardo Silva,86.60290821223154,3.1100803586772012,86,2857,0.11033816950134945,0.11914563752733898,0.15550401793386007
Aymeric Laporte,86.94222412478388,3.2382162694573973,86,2828,0.11033816950134945,0.12410246841782024,0.16191081347286987
Rúben Dias,87.2370028902783,3.3495336117864705,87,2402,0.12494647611802412,0.12840868700824792,0.16747668058932352
Kevin De Bruyne,86.60225618469316,3.109834133435786,91,2201,0.18337970258472347,0.11913611250913592,0.1554917066717893
Phil Foden,87.30791480669286,3.376312087710576,84,2128,0.08112155626799966,0.12944459002600772,0.1688156043855288
Raheem Sterling,86.64788924618752,3.1270665521935315,88,2128,0.139554782734699,0.11980273426330301,0.15635332760967657
Jack Grealish,85.99605117712191,2.8809128600997584,84,1914,0.08112155626799966,0.11028048388597145,0.14404564300498793
Gabriel Jesus,86.32615970155581,3.005571783745491,83,1877,0.06651324965132499,0.11510281042767989,0.15027858918727455
İlkay Gündoğan,87.76582784764388,3.549233847020455,85,1857,0.09572986288467455,0.1361339241319941,0.17746169235102277
Kyle Walker,82.89184237178354,1.7086700980908145,85,1755,0.09572986288467455,0.0649332498554065,0.08543350490454073
Riyad Mahrez,83.56571764131496,1.963145700971184,86,1498,0.11033816950134945,0.07477742641411589,0.0981572850485592
John Stones,80.48767725729758,0.8007849232005351,83,1119,0.06651324965132499,0.0298124687058825,0.040039246160026756
Oleksandr Zinchenko,84.35965586658338,2.2629606929435693,80,1047,0.022688329801300533,0.08637551944353561,0.11314803464717846
Fernandinho,81.80161436825611,1.2969671598488166,83,964,0.06651324965132499,0.0490068648977926,0.06484835799244083
Nathan Aké,81.05322472090688,1.0143526830910492,78,923,-0.006528283432049031,0.03807415946057002,0.05071763415455246
Ferrán Torres,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Cole Palmer,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Zack Steffen,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Benjamin Mendy,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
James Mcatee,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Liam Delap,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Kayky Chagas,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
CJ Egan-Riley,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Scott Carson,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Thomas Doyle,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Samuel Edozie,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Roméo Lavia,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Luke Mbete-Tatu,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Cieran Slicker,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Josh Wilson-Esbrand,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Alisson,87.27274295832471,3.363030138182846,89,3240,0.1541630893513739,0.12893078888077047,0.1681515069091423
Virgil van Dijk,82.84423101268695,1.6906906145604512,89,3060,0.1541630893513739,0.06423772852328691,0.08453453072802256
Trent Alexander-Arnold,85.43065663927527,2.6674028495842532,87,2853,0.12494647611802412,0.10202102711771444,0.13337014247921267
Sadio Mané,87.65663856693085,3.5080006851968406,89,2819,0.1541630893513739,0.134538853640084,0.17540003425984202
Joël Matip,83.03468884744228,1.762613230679537,83,2790,0.06651324965132499,0.06701999497094091,0.08813066153397685
Mohamed Salah,90.13389431734151,4.443487086134161,89,2762,0.1541630893513739,0.17072736521000387,0.22217435430670807
Jordan Henderson,82.3135305442557,1.4902821298465905,84,2597,0.08112155626799966,0.05648509335883034,0.07451410649232952
Andrew Robertson,84.3933563134978,2.2756869969550655,87,2537,0.12494647611802412,0.0868678259051805,0.11378434984775328
Diogo Jota,85.1923430199938,2.577408447529071,82,2364,0.0519049430346501,0.09853966869632114,0.12887042237645355
Fabinho,81.11434495741202,1.0374335256980938,86,2314,0.11033816950134945,0.038967022615920666,0.05187167628490469
Thiago Alcántara,84.88515742091548,2.4614059110715747,86,1534,0.11033816950134945,0.09405220727675823,0.12307029555357873
Naby Keïta,80.21147756018797,0.696483596804902,80,1173,0.022688329801300533,0.025777658843072704,0.0348241798402451
Ibrahima Konaté,77.32976317045411,-0.39173857102517423,78,990,-0.006528283432049031,-0.016319308543843336,-0.019586928551258712
Luis Díaz,85.32550294133473,2.627693645391131,80,958,0.022688329801300533,0.10048490965632184,0.13138468226955655
Roberto Firmino,85.44965402453587,2.6745768345721643,85,990,0.09572986288467455,0.1022985467465165,0.13372884172860822
Curtis Jones,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Kostas Tsimikas,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
James Milner,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Alex Oxlade-Chamberlain,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Harvey Elliott,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Joe Gomez,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Caoimhín Kelleher,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Takumi Minamino,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Tyler Morton,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Divock Origi,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Kaide Gordon,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Neco Williams,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Adrián,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Owen Beck,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Conor Bradley,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Nathaniel Phillips,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Marcelo Pitaluga,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Jarrell Quansah,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Rhys Williams,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Ben Woodburn,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Edouard Mendy,83.67536682849854,2.00455253733318,83,3060,0.06651324965132499,0.07637921536076275,0.10022762686665901
Antonio Rüdiger,83.46656822197302,1.9257038932612447,83,3035,0.06651324965132499,0.07332902129550356,0.09628519466306223
Thiago Silva,81.64225009725453,1.2367864101250337,85,2650,0.09572986288467455,0.046678822763258854,0.06183932050625168
Mason Mount,84.44487407941735,2.295141657385832,83,2363,0.06651324965132499,0.08762041322593928,0.11475708286929161
Jorginho,82.74600915558581,1.6535990822962954,85,2273,0.09572986288467455,0.06280287351829439,0.08267995411481477
Marcos Alonso,80.98855217886904,0.9899303828984198,79,2167,0.00808002318462564,0.037129403136801464,0.049496519144920995
César Azpilicueta,81.5653304590043,1.2077392374476943,83,2070,0.06651324965132499,0.045555157102855626,0.060386961872384716
Reece James,87.35088217404406,3.392537860053402,81,1864,0.037296636417975426,0.13007227050278525,0.16962689300267011
Kai Havertz,83.62307670649919,1.9848062119787493,84,1809,0.08112155626799966,0.075615345225573,0.09924031059893747
N'Golo Kanté,83.1649971981372,1.811821589559503,90,1773,0.16877139596804858,0.06892357931260551,0.09059107947797515
Andreas Christensen,79.46901716663983,0.4161081849065872,80,1496,0.022688329801300533,0.0149315697633845,0.020805409245329358
Trevoh Chalobah,82.97615375172776,1.7405086151147455,73,1449,-0.07956981651542328,0.06616489634490685,0.08702543075573728
Romelu Lukaku,78.33122658939861,-0.01355581403552343,88,1589,0.139554782734699,-0.0016896238545187625,-6.777907017761715e-4
Mateo Kovačić,82.71696057232587,1.6426294621423567,83,1558,0.06651324965132499,0.0623785229072531,0.08213147310711784
Timo Werner,79.1190581037132,0.2839530999104746,84,1283,0.08112155626799966,0.009819260468868052,0.014197654995523732
Hakim Ziyech,81.26837410743957,1.0955995730167143,84,1319,0.08112155626799966,0.04121712766742891,0.05477997865083571
Ruben Loftus-Cheek,81.11952504014717,1.03938968099359,75,1394,-0.05035320328207349,0.03904269485281553,0.05196948404967951
Christian Pulisic,77.67012951099592,-0.26320598699105635,82,1290,0.0519049430346501,-0.011347132679213168,-0.013160299349552818
Callum Hudson-Odoi,78.61687699407696,0.09431438424922792,77,962,-0.021136590048723924,0.002483244842199861,0.004715719212461396
Malang Sarr,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Ben Chilwell,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Saúl Ñíguez,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Kepa Arrizabalaga,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Ross Barkley,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Kenedy,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Emerson Palmieri,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Tammy Abraham,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Marcus Bettinelli,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Lewis Hall,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Harvey Vale,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Kurt Zouma,77.47294066861909,-0.3376704343657448,81,2078,0.037296636417975426,-0.014227727750041108,-0.01688352171828724
Hugo Lloris,84.19555042278198,2.20098953353843,87,3420,0.12494647611802412,0.0839782168030192,0.11004947667692151
Harry Kane,86.78121889481031,3.1774158441904095,90,3232,0.16877139596804858,0.12175045465147827,0.15887079220952047
Pierre Højbjerg,83.2307232630879,1.836641731742362,83,3196,0.06651324965132499,0.06988372582211255,0.0918320865871181
Eric Dier,81.90873414591971,1.3374188149753063,79,3071,0.00808002318462564,0.05057170345461248,0.06687094074876532
Son Heung-min,86.69344731695496,3.144270652193629,89,3006,0.1541630893513739,0.12046826052993787,0.15721353260968146
Ben Davies,78.7615497236947,0.1489471653504286,73,2538,-0.07956981651542328,0.004596668435526974,0.00744735826752143
Emerson,78.7732477406093,0.1533646889507819,79,2286,0.00808002318462564,0.0047675566534226554,0.007668234447539095
Sergio Reguilón,79.78023293517417,0.5336326347631949,81,1916,0.037296636417975426,0.0194779051340781,0.026681631738159746
Cristian Romero,79.87215949532495,0.568346873247351,82,1844,0.0519049430346501,0.020820796510977013,0.02841734366236755
Lucas Moura,78.4811339232967,0.04305371133915024,81,1775,0.037296636417975426,5.002684431527626e-4,0.002152685566957512
Davinson Sánchez,80.17862539290503,0.6840776287374495,79,1631,0.00808002318462564,0.02529774431038123,0.034203881436872474
Rodrigo Bentancur,83.9205270352123,2.097132417062469,78,1361,-0.006528283432049031,0.07996059083064488,0.10485662085312344
Oliver Skipp,78.01401516713884,-0.13334440336337625,75,1350,-0.05035320328207349,-0.006323545573201139,-0.006667220168168812
Dejan Kulusevski,83.59504236559448,1.974219600293117,81,1261,0.037296636417975426,0.07520581097784063,0.09871098001465585
Ryan Sessegnon,78.27999772305424,-0.03290137728334434,75,1047,-0.05035320328207349,-0.0024379908417020424,-0.001645068864167217
Japhet Tanganga,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Harry Winks,78.74421528283011,0.1424011582641657,77,912,-0.021136590048723924,0.004343441608348542,0.007120057913208284
Matt Doherty,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Dele Alli,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Tanguy Ndombele,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Steven Bergwijn,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Giovani Lo Celso,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Bryan,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Joe Rodon,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Dane Scarlett,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Brandon Austin,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Jamie Bowden,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Matthew Craig,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Alfie Devine,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Pierluigi Gollini,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Marcel Lavinier,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Dilan Markanday,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Tobi Omole,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Moussa Sissoko,77.7328483510054,-0.23952146354138565,78,3220,-0.006528283432049031,-0.010430916633712428,-0.011976073177069283
Harvey White,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Bukayo Saka,82.33208757202912,1.4972898225811733,80,2978,0.022688329801300533,0.05675618011043859,0.07486449112905866
Gabriel Dos Santos,81.14153184432901,1.0477001132276422,79,3063,0.00808002318462564,0.039364176995956957,0.052385005661382114
Aaron Ramsdale,78.91731389999315,0.20776841085818257,74,3060,-0.06496150989874838,0.006872119282788525,0.010388420542909128
Ben White,78.75507120392956,0.14650068111581277,76,2880,-0.03574489666539882,0.0045020282323757765,0.007325034055790639
Martin Ødegaard,80.83076226631164,0.9303441583521366,82,2785,0.0519049430346501,0.03482435971314457,0.04651720791760683
Granit Xhaka,80.11228980894937,0.6590273138160001,79,2327,0.00808002318462564,0.024328693760360842,0.032951365690800004
Thomas Partey,80.48230779597979,0.7987572528470348,83,2028,0.06651324965132499,0.029734029968585984,0.03993786264235174
Kieran Tierney,77.5652348448681,-0.30281737296812744,80,1915,0.022688329801300533,-0.012879466124462002,-0.015140868648406372
Emile Smith Rowe,78.15035528232285,-0.081858268499938,76,1921,-0.03574489666539882,-0.004331847366440211,-0.004092913424996901
Martinelli,79.48793039773726,0.4232503907472625,76,1860,-0.03574489666539882,0.015207860042367738,0.021162519537363124
Alexandre Lacazette,77.47174080613013,-0.3381235385885247,82,1782,0.0519049430346501,-0.014245255709177673,-0.016906176929426232
Takehiro Tomiyasu,76.3353542305528,-0.767257344205525,75,1679,-0.05035320328207349,-0.030845939240284448,-0.03836286721027625
Cédric Soares,77.09780512911797,-0.4793329153806354,76,1486,-0.03574489666539882,-0.01970782273388516,-0.02396664576903177
Nuno Tavares,76.85226129628752,-0.5720576638886704,70,1176,-0.12339473636544773,-0.02329480233170589,-0.02860288319443352
Albert Sambi Lokonga,76.36250725697339,-0.757003543419496,73,1134,-0.07956981651542328,-0.030449279504761728,-0.0378501771709748
Pierre-Emerick Aubameyang,77.13784030350641,-0.46421442743552627,85,1037,0.09572986288467455,-0.019122976630966848,-0.023210721371776315
Rob Holding,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Eddie Nketiah,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Mohamed Elneny,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Nicolas Pépé,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Bernd Leno,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Ainsley Maitland-Niles,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Pablo Marí,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Calum Chambers,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Sead Kolašinac,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Folarin Balogun,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Reiss Nelson,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Ryan Alebiousu,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Zach Awe,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Miguel Azeez,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Héctor Bellerín,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Mika Biereth,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Marcelo Flores,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Omari Hutchinson,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Karl Jakob Hein,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Alex Kirk,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Mazeed Ogungbo,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Arthur Okonkwo,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Salah Oulad M'Hand,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Charlie Patino,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Zak Swanson,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
David de Gea,82.05127950255745,1.391248235950214,84,3420,0.08112155626799966,0.052654049731159835,0.0695624117975107
Bruno Fernandes,84.07739065539069,2.1563688457010337,88,3111,0.139554782734699,0.08225210269121241,0.10781844228505169
Harry Maguire,79.16350705612932,0.30073836340791354,84,2515,0.08112155626799966,0.010468584394552671,0.015036918170395677
Scott McTominay,79.06202638571598,0.2624162050623563,80,2387,0.022688329801300533,0.008986123645488897,0.013120810253117815
Cristiano Ronaldo,85.19734690686609,2.5792980659586893,91,2456,0.18337970258472347,0.09861276701002675,0.12896490329793447
Victor Lindelöf,78.89075348996198,0.1977383998739084,80,2355,0.022688329801300533,0.006484116669188689,0.00988691999369542
Fred,80.49114098472889,0.8020929310265364,81,2028,0.037296636417975426,0.029863067898235673,0.040104646551326825
Jadon Sancho,78.22176776961031,-0.05489076193407206,87,1900,0.12494647611802412,-0.003288631855885571,-0.002744538096703603
Raphaël Varane,77.77426611904092,-0.22388086658324843,86,1831,0.11033816950134945,-0.009825873178871403,-0.011194043329162422
Aaron Wan-Bissaka,79.17763055765319,0.30607182306665365,83,1793,0.06651324965132499,0.010674904835314303,0.015303591153332682
Diogo Dalot,76.71093987179664,-0.6254248912128558,76,1801,-0.03574489666539882,-0.025359269032174003,-0.03127124456064279
Luke Shaw,79.96573879574395,0.6036852362470879,84,1601,0.08112155626799966,0.022187831624471466,0.030184261812354396
Alex Telles,76.94697914852338,-0.5362893494229763,82,1660,0.0519049430346501,-0.021911134904171625,-0.026814467471148816
Nemanja Matić,79.01115104057985,0.24320414207291455,79,1382,0.00808002318462564,0.008242921004511183,0.012160207103645727
Paul Pogba,86.0968185059486,2.918965639172134,87,1349,0.12494647611802412,0.11175252392241486,0.1459482819586067
Mason Greenwood,81.74720189617713,1.2764193711665908,78,1271,-0.006528283432049031,0.04821199082189165,0.06382096855832954
Anthony Elanga,77.39723190316664,-0.3662603449959962,65,1214,-0.19643626944882175,-0.01533370460934047,-0.01831301724979981
Marcus Rashford,74.9682239886867,-1.2835269095759425,85,1235,0.09572986288467455,-0.05081739699839316,-0.06417634547879712
Edinson Cavani,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Eric Bailly,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Jesse Lingard,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Juan Mata,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Anthony Martial,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Phil Jones,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Daniel James,76.11480577338304,-0.8505430858556599,77,2366,-0.021136590048723924,-0.03406777872645472,-0.04252715429278299
Hannibal Mejbri,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Donny van de Beek,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Shola Shoretire,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Alejandro Garnacho,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Amad Diallo,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Álvaro Fernández,78.46306311934502,0.03622963136759618,73,1080,-0.07956981651542328,2.3628459821689596e-4,0.0018114815683798091
Tom Heaton,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Dean Henderson,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Andreas Pereira,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Charlie Savage,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Brandon Williams,75.29191676241653,-1.1612907666763888,75,2120,-0.05035320328207349,-0.04608879371014574,-0.058064538333819436
Łukasz Fabiański,82.67970877025084,1.6285620594344103,82,3330,0.0519049430346501,0.06183433716051745,0.08142810297172051
Declan Rice,81.66053349018381,1.2436907700989672,82,3179,0.0519049430346501,0.046945912173162796,0.06218453850494836
Tomáš Souček,78.01537819045292,-0.13282968469766113,82,3062,0.0519049430346501,-0.006303634110703227,-0.006641484234883056
Jarrod Bowen,81.85575389213517,1.3174118750679396,78,2983,-0.006528283432049031,0.04979775166269884,0.06587059375339697
Michail Antonio,80.7583727662969,0.9030077023470544,79,2971,0.00808002318462564,0.033766871701101486,0.04515038511735272
Pablo Fornals,79.75480631724083,0.5240307778315801,79,2795,0.00808002318462564,0.01910646530308302,0.02620153889157901
Aaron Cresswell,80.11421297702616,0.6597535600189817,79,2726,0.00808002318462564,0.024356787989301854,0.03298767800094908
Craig Dawson,78.07849537591498,-0.10899473400457688,77,2754,-0.021136590048723924,-0.005381598912691965,-0.005449736700228844
Saïd Benrahma,78.4471655447062,0.03022622825508179,77,2168,-0.021136590048723924,4.0479534313409005e-6,0.0015113114127540896
Vladimír Coufal,75.2140281373098,-1.1907038579823548,80,2209,0.022688329801300533,-0.047226614627656316,-0.05953519289911774
Manuel Lanzini,79.26196509828141,0.3379190862625982,77,1786,-0.021136590048723924,0.011906889663187759,0.01689595431312991
Ben Johnson,75.47819042130722,-1.0909482214158983,68,1397,-0.1526113495987973,-0.04336765098646089,-0.054547411070794916
Angelo Ogbonna,76.52150640689446,-0.6969606744153166,80,921,0.022688329801300533,-0.02812657117092421,-0.03484803372076583
